"item_code","item","unit","item_group","item_category","item_subcategory"
1787,"ROJAK BIASA","sepinggan","MAKANAN SIAP MASAK","LAIN-LAIN","ROJAK"
1788,"ROJAK MI","sepinggan","MAKANAN SIAP MASAK","LAIN-LAIN","ROJAK"
1789,"TEH TARIK PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","TEH"
1790,"KOPI \"O\" AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","KOPI"
1791,"KOPI AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","KOPI"
1792,"TEH AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","TEH"
1793,"NESCAFE AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1794,"LIMAU AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","LIMAU"
1795,"JUS OREN","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1796,"CARROT SUSU","segelas","MAKANAN SIAP MASAK","MINUMAN","JUS"
1804,"KEPAK AYAM (CHICKEN WING) (1KG)","1kg","BARANGAN SEGAR","AYAM","KEPAK AYAM"
1808,"MENTOS (PELBAGAI PERISA)","37g","BARANGAN KEDAI SERBANEKA","COKLAT",
1814,"LIMAU PANAS","gelas kecil","MAKANAN SIAP MASAK","MINUMAN","LIMAU"
1818,"KACANG BOTOL","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","KEKACANG"
1819,"LENGKUAS","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","HALIA, KUNYIT, LENGKUAS"
1820,"TELUR MASIN","1 biji","BARANGAN SEGAR","TELUR","TELUR MASIN"
1821,"TELUR MASIN","4 Biji","BARANGAN SEGAR","TELUR","TELUR MASIN"
1822,"BERAS SUPER SPECIAL TEMPATAN SABAH RICE VAGAS TOKOU","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1823,"BERAS TQR SABAH CAP TKC 5%","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1824,"BERAS SUPER HUMA CAP KELISA EMAS (SABAH)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1825,"BERAS SUPER CAP ANGGUR SAZARICE 5% (IMPORT THAILAND)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1826,"BERAS SUPER CAP RODA SAZARICE 5% (IMPORT THAILAND)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1827,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP MUHIBAH)","1kg","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG GANDUM"
1828,"KICAP SOYA PEKAT MANIS CAP AYAM","330 ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
1829,"BUTTERLITE (LEPA SUSU ISTIMEWA)","250 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","LEPAAN"
1832,"BERAS CAP GOLDEN SARAWAK (SST5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS"
1833,"BERAS PREMIUM CAP UNCLE TAN","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS PREMIUM"
1837,"KICAP TONG NAM (DARK SOY SAUCE)","330 ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
1838,"SERBUK KARI IKAN ALAGAPPAS","200 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1839,"SERBUK KARI DAGING ALAGAPPAS","200 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KARI"
1849,"TEPUNG NAIK SENDIRI CAP 'BLUE KEY'","1kg","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG NAIK SENDIRI"
1851,"TENOM COFFEE WANG EMAS (SERBUK)","180 g","MINUMAN","BAHAN-BAHAN MINUMAN","KOPI"
1852,"DESA FRESH MILK (KOTAK)","1 liter","MINUMAN","TERSEDIA MINUM","SUSU SEGAR"
1854,"KORDIAL F&N SUN VALLEY (GRENADINE)","2 liter","MINUMAN","BAHAN-BAHAN MINUMAN","KORDIAL"
1856,"SERBUK KOPIMAS COFFEE (BOLD TRADITIONS)","200 g","MINUMAN","BAHAN-BAHAN MINUMAN","KOPI"
1857,"NASI KERABU (BIASA)","sepinggan","MAKANAN SIAP MASAK","NASI","NASI KERABU"
1858,"NASI DAGANG (BIASA)","sepinggan","MAKANAN SIAP MASAK","NASI","NASI DAGANG"
1859,"TEH \"O\" AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","TEH"
1860,"TEH \"O\" LIMAU AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","TEH"
1861,"TEH HALIA AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","TEH"
1862,"NESCAFE \"O\" AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1863,"NESLO AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","NESCAFE"
1864,"HORLICKS AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","HORLICKS"
1865,"MILO AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","MILO"
1866,"MILO \"O\" AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","MILO"
1867,"SIRAP AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","SIRAP"
1868,"SIRAP LIMAU AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","SIRAP"
1869,"SIRAP BANDUNG AIS","gelas besar","MAKANAN SIAP MASAK","MINUMAN","SIRAP"
1870,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP FAIZA)","1kg","BARANGAN BERBUNGKUS","TEPUNG","TEPUNG GANDUM"
1871,"KRIMER SEJAT CAIR SAJI","390g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
1872,"MAYONIS SEBENAR LADY'S CHOICE","220ml","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","MAYONIS"
1873,"KRIMER MANIS CAP TEAPOT","500 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
1874,"DUTCH LADY 123 (BIASA)","900 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","DUTCH LADY"
1876,"PELEMBUT PAKAIAN - DOWNY (PREMIUM PARFUM PASSION)","800ml","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1877,"NESCAFE BLEND & BREW 3 IN 1 (PAKET ) - ORIGINAL","28x19g","MINUMAN","BAHAN-BAHAN MINUMAN","NESCAFE"
1879,"SEVEN UP LEMON & LIME (TIN)","320ml","MINUMAN","TERSEDIA MINUM","AIR BERKARBONAT"
1880,"YOGURT LACTEL (FAT FREE) (STRAWBERRY)","125 g","MINUMAN","TERSEDIA MINUM","YOGURT"
1881,"SERBUK CABAI ALAGAPPAS","230g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK CILI"
1882,"TUNA CAP AYAM (TUNA MAYONNAISE)","160 g","BARANGAN BERBUNGKUS","IKAN DALAM TIN","TUNA"
1884,"SABUN SERBUK FAB (PERFECT)","720g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1886,"PEMBARIS PLASTIK FABER CASTELL - 15CM","1 unit","BARANGAN KEDAI SERBANEKA","ALAT TULIS DAN BAHAN BACAAN","PEMBARIS"
1887,"DETTOL SHOWER FOAM ORIGINAL","250 ml","BARANGAN KEDAI SERBANEKA","SABUN BADAN","MANDIAN"
1889,"AMBI PUR GEL FRESH AIR FRESHENER (PELBAGAI JENIS)","180ml","BARANGAN KEDAI SERBANEKA","PEWANGI RUMAH",
1890,"BYE BYE FEVER SUPER COOL (DEWASA)","6sheets","BARANGAN KEDAI SERBANEKA","UBAT-UBATAN","COOL FEVER"
1891,"SUPER RING SNACKS CHEESE","60 g","BARANGAN KEDAI SERBANEKA","MAKANAN RINGAN",
1893,"MUNCHY'S MUZIC WAFER VANILLA CUBE","90g","BARANGAN KEDAI SERBANEKA","BISKUT","BISKUT"
1894,"CALPIS (PELBAGAI PERISA)","350ml","BARANGAN KEDAI SERBANEKA","MINUMAN","AIR BERKARBONAT"
1896,"COCA COLA LIGHT","320ml","BARANGAN KEDAI SERBANEKA","MINUMAN","AIR BERKARBONAT"
1899,"CILI KERING KERINTING (BERTANGKAI/TIDAK BERTANGKAI)","1kg","BARANGAN KERING","CILI KERING","CILI KERING"
1900,"CILI KERING LEPER (BERTANGKAI/TIDAK BERTANGKAI)","1kg","BARANGAN KERING","CILI KERING","CILI KERING"
1902,"BERAS SUPER WR (5%)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1904,"DUMEX DUGRO 3 (1-3 TAHUN) PERISA ASLI (850G)","850g","SUSU DAN BARANGAN BAYI","SUSU BAYI","DUMEX"
1905,"MAGGI 2 MINUTE NOODLE CURRY FLAVOUR (5X79G)","5 X 79g","BARANGAN BERBUNGKUS","MI SEGERA","MI SEGERA"
1907,"DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA - KOTAK) (1KG)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1908,"DAGING KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND - KOTAK)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1909,"DAGING KAMBING BEBIRI IMPORT TANPA TULANG (LAMB) (TIDAK TERMASUK PAHA - AUSTRALIA)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1910,"DAGING KAMBING BEBIRI IMPORT TANPA TULANG (LAMB) (TIDAK TERMASUK PAHA - NEW ZEALAND)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1911,"DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (AUSTRALIA)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1912,"DAGING PAHA KAMBING BEBIRI IMPORT BERTULANG (LAMB) (NEW ZEALAND)","1kg","BARANGAN SEGAR","DAGING","DAGING KAMBING"
1913,"DAGING LEMBU IMPORT (BLOCK)","1kg","BARANGAN SEGAR","DAGING","DAGING LEMBU"
1914,"DAGING KERBAU IMPORT (INDIA) (BLOCK)","1kg","BARANGAN SEGAR","DAGING","DAGING KERBAU"
1915,"IKAN JENAHAK (KEPINGAN)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN JENAHAK"
1916,"IKAN DEMUDUK/CUPAK/CERMIN (b $ 3 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN DEMUDUK/CUPAK/CERMIN"
1917,"IKAN PARANG (KEPINGAN)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN PARANG"
1918,"IKAN TERUBOK (b $ 4 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","IKAN TERUBOK"
1919,"UDANG PUTIH BESAR (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","BAHAN LAUT","UDANG"
1920,"KERANG (SAIZ SEDERHANA)","1kg","BARANGAN SEGAR","BAHAN LAUT","KERANG"
1921,"IKAN TILAPIA MERAH (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM)","1kg","BARANGAN SEGAR","IKAN DARAT","IKAN TILAPIA"
1922,"SADERI","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","SAYUR DAUN"
1923,"TERUNG BULAT","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","TERUNG"
1924,"SERBUK KUNYIT ALAGAPPAS","230g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK KUNYIT"
1925,"CILI API/PADI MERAH","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","CILI"
1926,"CILI AKAR HIJAU","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","CILI"
1927,"CILI AKAR MERAH","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","CILI"
1928,"LIMAU KASTURI","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","LIMAU"
1929,"SANTAN KELAPA SEGAR (PEKAT)","1kg","BARANGAN SEGAR","KELAPA","SANTAN"
1930,"TELUR AYAM KAMPUNG","10 biji","BARANGAN SEGAR","TELUR","TELUR AYAM"
1931,"BAWANG BESAR IMPORT (PAKISTAN)","1kg","BARANGAN KERING","BAWANG","BAWANG BESAR"
1933,"BAWANG KECIL MERAH IMPORT (HOLLAND)","1kg","BARANGAN KERING","BAWANG","BAWANG KECIL"
1934,"MINYAK MASAK SEBATIAN CAP ADELA GOLD","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1935,"MINYAK MASAK SEBATIAN CAP ADELA GOLD","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1936,"MINYAK MASAK SEBATIAN CAP ADELA GOLD","5 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1937,"MINYAK MASAK TULEN CAP SAJI","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1938,"MINYAK MASAK TULEN CAP SAJI","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1939,"MINYAK MASAK TULEN CAP SAJI","5 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1940,"MINYAK MASAK TULEN CAP ALIF","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1941,"MINYAK MASAK TULEN CAP ALIF","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1942,"MINYAK MASAK TULEN CAP ALIF","5 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1943,"KACANG MERAH (IMPORT)","1kg","BARANGAN KERING","KACANG",
1944,"KACANG SOYA (IMPORT)","1kg","BARANGAN KERING","KACANG",
1945,"TAUHU (JENIS KERAS)","sekeping","BARANGAN SEGAR","TAUHU DAN TEMPE","TAUHU"
1946,"TEMPE (BUNGKUSAN PLASTIK)","sekeping","BARANGAN SEGAR","TAUHU DAN TEMPE","TEMPE"
1947,"SERBUK PENAIK ROYAL (TIN)","113g","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1948,"RAGI BULAT/RAGI TAPAI","1 biji","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1949,"ROTI WHOLEMEAL (PELBAGAI JENAMA)","400 g","BARANGAN BERBUNGKUS","ROTI","ROTI SANDWICH "
1950,"BUNGA RAYA YIS SEGERA","11g","BARANGAN BERBUNGKUS","ESEN DAN RAGI",
1951,"BERAS SUPER CAP 3A BOY (IMPORT)","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
1952,"KRIMER SEJAT CAP F&N","390g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
1953,"KRIMER MANIS PEKAT CAP SAJI","500 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","KRIMER"
1954,"SUSU TEPUNG SEGERA EVERYDAY","900 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU TEPUNG"
1955,"YOGURT MARIGOLD (LOW FAT) (STRAWBERRY)","130g","MINUMAN","TERSEDIA MINUM","YOGURT"
1956,"NAN PRO LANGKAH 1 RUMUSAN BAYI (KOTAK)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","NAN PRO"
1957,"NAN PRO LANGKAH 2 RUMUSAN SUSULAN (KOTAK)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","NAN PRO"
1958,"NANKID OPTIPRO LANGKAH 3 RUMUSAN UNTUK KANAK-KANAK","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","NANKID"
1959,"SUSU SEGAR FARM FRESH","1 liter","MINUMAN","TERSEDIA MINUM","SUSU SEGAR"
1960,"SUSU SEGAR KURMA FARM FRESH","700 g","MINUMAN","TERSEDIA MINUM","SUSU SEGAR"
1961,"ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - TIN","1.5kg","SUSU DAN BARANGAN BAYI","SUSU BAYI","ANMUM"
1962,"NESTUM (ORIGINAL)","500 g","MINUMAN","BAHAN-BAHAN MINUMAN","NESTUM"
1963,"REFILL ANMUM ESSENTIAL LANGKAH 4 PERISA ASLI (TANPA GULA TAMBAHAN) - KOTAK","550 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","ANMUM"
1964,"QUAKER OATS INSTANT OATMEALS","1kg","MINUMAN","BAHAN-BAHAN MINUMAN","QUAKER OATS"
1965,"PEDIASURE (VANILA)","600 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","PEDIASURE"
1966,"MILNA BISKUT RUSK (ASLI)","130g","SUSU DAN BARANGAN BAYI","MAKANAN BAYI","RUSK"
1967,"PETPET GOLD+","M70","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","PETPET"
1968,"DRYPERS WEE WEE DRY (M74)","M74","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","DRYPERS"
1969,"HUGGIES DRY DIAPERS (M72)","M72","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","HUGGIES"
1970,"DIAPEX EASY","M70","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","DIAPEX"
1971,"FITTI","M60","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","FITTI"
1972,"MAMYPOKO EXTRA DRY","M54","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","MAMYPOKO"
1973,"PETPET DAY NIGHT PANTS","M54","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","PETPET"
1974,"DRYPERS DRYPANTZ","M60","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","DRYPERS"
1975,"HUGGIES DRY PANTS","M60","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","HUGGIES"
1976,"MAGGI MI SEGERA PERISA KARI","5 X 79g","BARANGAN BERBUNGKUS","MI SEGERA","MI SEGERA"
1977,"CINTAN MI SEGERA PERISA AYAM","5 X 75g","BARANGAN BERBUNGKUS","MI SEGERA","MI SEGERA"
1978,"MI SEDAP MI GORENG PERISA ASLI","5 X 90g","BARANGAN BERBUNGKUS","MI SEGERA","MI SEGERA"
1979,"SABUN MANDIAN LIFEBUOY (COOL FRESH)","300ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SABUN MANDI"
1980,"SABUN MANDIAN DETTOL ANTIBACTERIAL (FRESH)","500 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SABUN MANDI"
1981,"SABUN MANDIAN LUX (MAGICAL SPELL)","220 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SABUN MANDI"
1982,"SYAMPU REJOICE (RICH SOFT SMOOTH)","340ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SYAMPU"
1983,"SYAMPU PANTENE PRO-V (HAIR FALL CONTROL)","340ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SYAMPU"
1984,"SYAMPU HEAD & SHOULDERS (SMOOTH & SILKY)","330 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","SYAMPU"
1985,"TUALA WANITA KOTEX SOFT & SMOOTH (MAXI - NON WING)","10 PAD","PRODUK KEBERSIHAN","PENJAGAAN DIRI","TUALA WANITA"
1986,"TUALA WANITA LIBRESSE (MAXI - NON WING)","10 PAD","PRODUK KEBERSIHAN","PENJAGAAN DIRI","TUALA WANITA"
1987,"DEODORAN NIVEA MAN (BLACK & WHITE INVISIBLE - ORIGINAL)","150 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","DEODORAN"
1988,"DEODORAN NIVEA (EXTRA BRIGHTENING)","150 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","DEODORAN"
1989,"DEODORAN REXONA MEN (SPORT DEFENSE)","50 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","DEODORAN"
1990,"DEODORAN REXONA (POWDER DRY BRIGHTENING)","50 ml","PRODUK KEBERSIHAN","PENJAGAAN DIRI","DEODORAN"
1991,"SABUN SERBUK BREEZE (POWER CLEAN)","750 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1992,"SABUN SERBUK ATTACK (AROMA FRESH + COLOUR)","800 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1993,"SABUN SERBUK TOP (SUPER COLOUR)","750 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1994,"DYNAMO POWER GEL (PERFECT CLEAN)","3 kg","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1995,"DAIA EXCELLENT WASHING POWER (EUA DE PARFUM)","750 g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1996,"PELEMBUT PAKAIAN - SOFTLAN (FLORAL FANTASY)","1 liter","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
1998,"PENCUCI PELBAGAI GUNA DETTOL (LAVENDER)","2.5 liter","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI LANTAI"
1999,"PENCUCI PELBAGAI GUNA MR MUSCLE (LAVENDER)","2 liter","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI LANTAI"
2000,"PENCUCI PELBAGAI GUNA AJAX FABULOSO (LAVENDER)","2 liter","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI LANTAI"
2001,"DUMEX DUPRO 2 (RUMUSAN SUSULAN)","850g","SUSU DAN BARANGAN BAYI","SUSU BAYI","DUMEX"
2002,"PELUNTUR CLOROX (ORIGINAL)","1 liter","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
2003,"BIHUN KERING IMPORT (PELBAGAI JENAMA)","400 g","BARANGAN BERBUNGKUS","BIHUN","BIHUN KERING"
2004,"BERAS SUPER SPECIAL CAP FAMILI 5%","10 kg","BARANGAN BERBUNGKUS","BERAS","BERAS SUPER"
2008,"SUSU TEPUNG PENUH KRIM SEGERA NESPRAY","480 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU TEPUNG"
2009,"DUTCH LADY 123 (BIASA)","850g","SUSU DAN BARANGAN BAYI","SUSU BAYI","DUTCH LADY"
2010,"DUTCH LADY 456 (BIASA)","850g","SUSU DAN BARANGAN BAYI","SUSU BAYI","DUTCH LADY"
2011,"KIUB SUP TOM YAM (MAGGI)","6 X 10g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","PERENCAH"
2012,"KICAP TAMIN (DARK SOY SAUCE)","350ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
2013,"KRAFT DAIRYLEA SINGLES CHEESE 12 SLICES","250 g","BARANGAN BERBUNGKUS","SAPUAN (SPREADS)","CHEESE"
2014,"ENFAGROW A+ MIND PRO LANGKAH 3 VANILA (KOTAK)","500 g","SUSU DAN BARANGAN BAYI","SUSU BAYI","ENFAGROW"
2015,"PETPET PANTS GOLD+","M60","SUSU DAN BARANGAN BAYI","LAMPIN PAKAI BUANG","PETPET"
2016,"SABUN SERBUK FAB (PERFECT)","680g","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
2017,"DYNAMO POWER GEL (PERFECT CLEAN)","2.6kg","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PAKAIAN"
2018,"SABUN PENCUCI SUNLIGHT (LEMON)","900ml","PRODUK KEBERSIHAN","PENJAGAAN RUMAH","PENCUCI PINGGAN"
2019,"NESCAFE 3 IN 1 ORIGINAL (AROMATIC & BALANCED)","25 x 18g","MINUMAN","BAHAN-BAHAN MINUMAN","NESCAFE"
2020,"YOGURT LACTEL (FAT FREE) (STRAWBERRY)","130g","MINUMAN","TERSEDIA MINUM","YOGURT"
